gs_text34,iso3,weight,age,sex
Congenital malformation,YEM,0.3495418,7,0
Meningitis/Sepsis,YEM,0.0764759,7,0
Pneumonia,YEM,0.1603242,7,0
Preterm Delivery,YEM,0.2361353,7,0
Stillbirth,YEM,0,7,0
Birth asphyxia,YEM,0.1407244,7,1
Congenital malformation,YEM,0.3997755,7,1
Meningitis/Sepsis,YEM,0.0769806,7,1
Pneumonia,YEM,0.1711123,7,1
Preterm Delivery,YEM,0.2114072,7,1
Stillbirth,YEM,0,7,1
Birth asphyxia,WSM,0.4161511,0,0
Congenital malformation,WSM,0.0652368,0,0
Meningitis/Sepsis,WSM,0.0804066,0,0
Pneumonia,WSM,0.0162756,0,0
Preterm Delivery,WSM,0.1639808,0,0
Stillbirth,WSM,0.2579491,0,0
Birth asphyxia,WSM,0.3531194,0,1
Congenital malformation,WSM,0.0393524,0,1
Meningitis/Sepsis,WSM,0.0832115,0,1
Pneumonia,WSM,0.0193741,0,1
Preterm Delivery,WSM,0.2252307,0,1
Stillbirth,WSM,0.2797119,0,1
Birth asphyxia,WSM,0.4185484,7,0
Congenital malformation,WSM,0.1105727,7,0
Meningitis/Sepsis,WSM,0.2130579,7,0
Pneumonia,WSM,0.0782923,7,0
Preterm Delivery,WSM,0.1795288,7,0
Stillbirth,WSM,0,7,0
Birth asphyxia,WSM,0.3404365,7,1
Congenital malformation,WSM,0.157151,7,1
Meningitis/Sepsis,WSM,0.2072838,7,1
Pneumonia,WSM,0.0796999,7,1
Preterm Delivery,WSM,0.2154288,7,1
Stillbirth,WSM,0,7,1
Birth asphyxia,VUT,0.4226971,0,0
Congenital malformation,VUT,0.0572068,0,0
Meningitis/Sepsis,VUT,0.0615497,0,0
Pneumonia,VUT,0.0284205,0,0
Preterm Delivery,VUT,0.1748865,0,0
Stillbirth,VUT,0.2552394,0,0
Birth asphyxia,VUT,0.3614809,0,1
Congenital malformation,VUT,0.0382466,0,1
Meningitis/Sepsis,VUT,0.0581836,0,1
Pneumonia,VUT,0.0344224,0,1
Preterm Delivery,VUT,0.2331128,0,1
Stillbirth,VUT,0.2745536,0,1
Birth asphyxia,VUT,0.3909665,7,0
Congenital malformation,VUT,0.1098583,7,0
Meningitis/Sepsis,VUT,0.1759233,7,0
Pneumonia,VUT,0.1388375,7,0
Preterm Delivery,VUT,0.1844144,7,0
Stillbirth,VUT,0,7,0
Birth asphyxia,VUT,0.3272823,7,1
Congenital malformation,VUT,0.1704189,7,1
Meningitis/Sepsis,VUT,0.1560211,7,1
Pneumonia,VUT,0.1391214,7,1
Preterm Delivery,VUT,0.2071562,7,1
Stillbirth,VUT,0,7,1
Birth asphyxia,VNM,0.2086924,0,0
Congenital malformation,VNM,0.1420361,0,0
Meningitis/Sepsis,VNM,0.0364315,0,0
Pneumonia,VNM,0.0365637,0,0
Preterm Delivery,VNM,0.2808605,0,0
Stillbirth,VNM,0.2954158,0,0
Birth asphyxia,VNM,0.356195,0,1
Congenital malformation,VNM,0.1382184,0,1
Meningitis/Sepsis,VNM,0.0267976,0,1
Pneumonia,VNM,0.0286434,0,1
Preterm Delivery,VNM,0.193874,0,1
Stillbirth,VNM,0.2562715,0,1
Birth asphyxia,VNM,0.2427081,7,0
Congenital malformation,VNM,0.2880833,7,0
Meningitis/Sepsis,VNM,0.0977216,7,0
Pneumonia,VNM,0.1781578,7,0
Preterm Delivery,VNM,0.1933292,7,0
Stillbirth,VNM,0,7,0
Birth asphyxia,VNM,0.334104,7,1
Congenital malformation,VNM,0.2881565,7,1
Meningitis/Sepsis,VNM,0.0817472,7,1
Pneumonia,VNM,0.1492653,7,1
Preterm Delivery,VNM,0.1467271,7,1
Stillbirth,VNM,0,7,1
Birth asphyxia,VEN,0.3310866,0,0
Congenital malformation,VEN,0.1047604,0,0
Meningitis/Sepsis,VEN,0.0529032,0,0
Pneumonia,VEN,0.0169898,0,0
Preterm Delivery,VEN,0.2221871,0,0
Stillbirth,VEN,0.2720729,0,0
Birth asphyxia,VEN,0.3316377,0,1
Congenital malformation,VEN,0.1224205,0,1
Meningitis/Sepsis,VEN,0.0521672,0,1
Pneumonia,VEN,0.0158381,0,1
Preterm Delivery,VEN,0.2091972,0,1
Stillbirth,VEN,0.2687393,0,1
Birth asphyxia,VEN,0.2457759,7,0
Congenital malformation,VEN,0.2733788,7,0
Meningitis/Sepsis,VEN,0.2042259,7,0
Pneumonia,VEN,0.0739357,7,0
Preterm Delivery,VEN,0.2026836,7,0
Stillbirth,VEN,0,7,0
Birth asphyxia,VEN,0.2223191,7,1
Congenital malformation,VEN,0.302124,7,1
Meningitis/Sepsis,VEN,0.2044647,7,1
Pneumonia,VEN,0.0689485,7,1
Preterm Delivery,VEN,0.2021437,7,1
Stillbirth,VEN,0,7,1
Birth asphyxia,VCT,0.2876409,0,0
Congenital malformation,VCT,0.0865916,0,0
Meningitis/Sepsis,VCT,0.0680791,0,0
Pneumonia,VCT,0.0063158,0,0
Preterm Delivery,VCT,0.2620893,0,0
Stillbirth,VCT,0.2892833,0,0
Birth asphyxia,VCT,0.2313066,0,1
Congenital malformation,VCT,0.0584946,0,1
Meningitis/Sepsis,VCT,0.0586848,0,1
Pneumonia,VCT,0.0052302,0,1
Preterm Delivery,VCT,0.336931,0,1
Stillbirth,VCT,0.3093527,0,1
Birth asphyxia,VCT,0.3312975,7,0
Congenital malformation,VCT,0.2032826,7,0
Meningitis/Sepsis,VCT,0.2425681,7,0
Pneumonia,VCT,0.0410734,7,0
Preterm Delivery,VCT,0.1817784,7,0
Stillbirth,VCT,0,7,0
Birth asphyxia,VCT,0.2868535,7,1
Congenital malformation,VCT,0.1553074,7,1
Meningitis/Sepsis,VCT,0.1983551,7,1
Pneumonia,VCT,0.0439211,7,1
Preterm Delivery,VCT,0.3155629,7,1
Stillbirth,VCT,0,7,1
Birth asphyxia,UZB,0.6001731,0,0
Congenital malformation,UZB,0.048589,0,0
Meningitis/Sepsis,UZB,0.0091359,0,0
Pneumonia,UZB,0.0677837,0,0
Preterm Delivery,UZB,0.0730604,0,0
Stillbirth,UZB,0.201258,0,0
Birth asphyxia,UZB,0.5852226,0,1
Congenital malformation,UZB,0.0554105,0,1
Meningitis/Sepsis,UZB,0.0102977,0,1
Pneumonia,UZB,0.0668168,0,1
Preterm Delivery,UZB,0.0780164,0,1
Stillbirth,UZB,0.204236,0,1
Birth asphyxia,UZB,0.4510306,7,0
Congenital malformation,UZB,0.1043409,7,0
Meningitis/Sepsis,UZB,0.0332694,7,0
Pneumonia,UZB,0.3516802,7,0
Preterm Delivery,UZB,0.0596788,7,0
Stillbirth,UZB,0,7,0
Birth asphyxia,UZB,0.425734,7,1
Congenital malformation,UZB,0.0935177,7,1
Meningitis/Sepsis,UZB,0.0360431,7,1
Pneumonia,UZB,0.3811091,7,1
Preterm Delivery,UZB,0.0635962,7,1
Stillbirth,UZB,0,7,1
Birth asphyxia,USA,0.2377865,0,0
Congenital malformation,USA,0.1938662,0,0
Meningitis/Sepsis,USA,0.0165453,0,0
Pneumonia,USA,0.0017715,0,0
Preterm Delivery,USA,0.2695857,0,0
Stillbirth,USA,0.2804448,0,0
Birth asphyxia,USA,0.2551661,0,1
Congenital malformation,USA,0.1984121,0,1
Meningitis/Sepsis,USA,0.0155321,0,1
Pneumonia,USA,0.00167,0,1
Preterm Delivery,USA,0.2543911,0,1
Stillbirth,USA,0.2748286,0,1
Birth asphyxia,USA,0.2297838,7,0
Congenital malformation,USA,0.3857985,7,0
Meningitis/Sepsis,USA,0.0852966,7,0
Pneumonia,USA,0.018903,7,0
Preterm Delivery,USA,0.2802182,7,0
Stillbirth,USA,0,7,0
Birth asphyxia,USA,0.2344462,7,1
Congenital malformation,USA,0.4266648,7,1
Meningitis/Sepsis,USA,0.0837088,7,1
Pneumonia,USA,0.0148142,7,1
Preterm Delivery,USA,0.2403661,7,1
Stillbirth,USA,0,7,1
Birth asphyxia,URY,0.2659667,0,0
Congenital malformation,URY,0.2226034,0,0
Meningitis/Sepsis,URY,0.0360737,0,0
Pneumonia,URY,0.0062228,0,0
Preterm Delivery,URY,0.200974,0,0
Stillbirth,URY,0.2681594,0,0
Birth asphyxia,URY,0.3015236,0,1
Congenital malformation,URY,0.2393199,0,1
Meningitis/Sepsis,URY,0.0290662,0,1
Pneumonia,URY,0.0049958,0,1
Preterm Delivery,URY,0.1699804,0,1
Stillbirth,URY,0.2551141,0,1
Birth asphyxia,URY,0.1680845,7,0
Congenital malformation,URY,0.3955291,7,0
Meningitis/Sepsis,URY,0.1613842,7,0
Pneumonia,URY,0.0309127,7,0
Preterm Delivery,URY,0.2440895,7,0
Stillbirth,URY,0,7,0
Birth asphyxia,URY,0.1539078,7,1
Congenital malformation,URY,0.40677,7,1
Meningitis/Sepsis,URY,0.1506998,7,1
Pneumonia,URY,0.0371411,7,1
Preterm Delivery,URY,0.2514813,7,1
Stillbirth,URY,0,7,1
Birth asphyxia,UKR,0.3947325,0,0
Congenital malformation,UKR,0.1912328,0,0
Meningitis/Sepsis,UKR,0.028354,0,0
Pneumonia,UKR,0.0056878,0,0
Preterm Delivery,UKR,0.1414632,0,0
Stillbirth,UKR,0.2385297,0,0
Birth asphyxia,UKR,0.4084795,0,1
Congenital malformation,UKR,0.2005424,0,1
Meningitis/Sepsis,UKR,0.0264172,0,1
Pneumonia,UKR,0.0042451,0,1
Preterm Delivery,UKR,0.1272067,0,1
Stillbirth,UKR,0.2331092,0,1
Birth asphyxia,UKR,0.3039896,7,0
Congenital malformation,UKR,0.4260069,7,0
Meningitis/Sepsis,UKR,0.0842303,7,0
Pneumonia,UKR,0.0424746,7,0
Preterm Delivery,UKR,0.1432986,7,0
Stillbirth,UKR,0,7,0
Birth asphyxia,UKR,0.3127381,7,1
Congenital malformation,UKR,0.4534478,7,1
Meningitis/Sepsis,UKR,0.0789287,7,1
Pneumonia,UKR,0.0319742,7,1
Preterm Delivery,UKR,0.1229112,7,1
Stillbirth,UKR,0,7,1
Birth asphyxia,UGA,0.4649202,0,0
Congenital malformation,UGA,0.0232814,0,0
Meningitis/Sepsis,UGA,0.1085272,0,0
Pneumonia,UGA,0.0332209,0,0
Preterm Delivery,UGA,0.1177449,0,0
Stillbirth,UGA,0.2523054,0,0
Birth asphyxia,UGA,0.4405447,0,1
Congenital malformation,UGA,0.0294728,0,1
Meningitis/Sepsis,UGA,0.1067217,0,1
Pneumonia,UGA,0.0320554,0,1
Preterm Delivery,UGA,0.1333974,0,1
Stillbirth,UGA,0.2578081,0,1
Birth asphyxia,UGA,0.4355464,7,0
Congenital malformation,UGA,0.0639386,7,0
Meningitis/Sepsis,UGA,0.2654204,7,0
Pneumonia,UGA,0.1071088,7,0
Preterm Delivery,UGA,0.1279858,7,0
Stillbirth,UGA,0,7,0
Birth asphyxia,UGA,0.3850446,7,1
Congenital malformation,UGA,0.0946997,7,1
Meningitis/Sepsis,UGA,0.2702257,7,1
Pneumonia,UGA,0.1087787,7,1
Preterm Delivery,UGA,0.1412513,7,1
Stillbirth,UGA,0,7,1
Birth asphyxia,TZA,0.4949708,0,0
Congenital malformation,TZA,0.0230279,0,0
Meningitis/Sepsis,TZA,0.0811659,0,0
Pneumonia,TZA,0.044602,0,0
Preterm Delivery,TZA,0.1148917,0,0
Stillbirth,TZA,0.2413417,0,0
Birth asphyxia,TZA,0.4628859,0,1
Congenital malformation,TZA,0.0297442,0,1
Meningitis/Sepsis,TZA,0.0764728,0,1
Pneumonia,TZA,0.041623,0,1
Preterm Delivery,TZA,0.1404087,0,1
Stillbirth,TZA,0.2488653,0,1
Birth asphyxia,TZA,0.4124682,7,0
Congenital malformation,TZA,0.0752755,7,0
Meningitis/Sepsis,TZA,0.1487319,7,0
Pneumonia,TZA,0.2422376,7,0
Preterm Delivery,TZA,0.1212868,7,0
Stillbirth,TZA,0,7,0
Birth asphyxia,TZA,0.3848249,7,1
Congenital malformation,TZA,0.1076727,7,1
Meningitis/Sepsis,TZA,0.152606,7,1
Pneumonia,TZA,0.2286685,7,1
Preterm Delivery,TZA,0.1262279,7,1
Stillbirth,TZA,0,7,1
Birth asphyxia,TWN,0.1008284,0,0
Congenital malformation,TWN,0.2981404,0,0
Meningitis/Sepsis,TWN,0.0172529,0,0
Pneumonia,TWN,0.0037551,0,0
Preterm Delivery,TWN,0.2817591,0,0
Stillbirth,TWN,0.2982641,0,0
Birth asphyxia,TWN,0.1751481,0,1
Congenital malformation,TWN,0.2928305,0,1
Meningitis/Sepsis,TWN,0.0104705,0,1
Pneumonia,TWN,0.0038615,0,1
Preterm Delivery,TWN,0.239073,0,1
Stillbirth,TWN,0.2786164,0,1
Birth asphyxia,TWN,0.1232851,7,0
Congenital malformation,TWN,0.4584101,7,0
Meningitis/Sepsis,TWN,0.0453391,7,0
Pneumonia,TWN,0.0233418,7,0
Preterm Delivery,TWN,0.3496239,7,0
Stillbirth,TWN,0,7,0
Birth asphyxia,TWN,0.1800781,7,1
Congenital malformation,TWN,0.4514146,7,1
Meningitis/Sepsis,TWN,0.0365651,7,1
Pneumonia,TWN,0.026261,7,1
Preterm Delivery,TWN,0.3056812,7,1
Stillbirth,TWN,0,7,1
Birth asphyxia,TUR,0.1648893,0,0
Congenital malformation,TUR,0.2430358,0,0
Meningitis/Sepsis,TUR,0.0421749,0,0
Pneumonia,TUR,0.017962,0,0
Preterm Delivery,TUR,0.2409467,0,0
Stillbirth,TUR,0.2909913,0,0
Birth asphyxia,TUR,0.1690554,0,1
Congenital malformation,TUR,0.2506466,0,1
Meningitis/Sepsis,TUR,0.0370876,0,1
Pneumonia,TUR,0.0189429,0,1
Preterm Delivery,TUR,0.2362221,0,1
Stillbirth,TUR,0.2880454,0,1
Birth asphyxia,TUR,0.0973136,7,0
Congenital malformation,TUR,0.4169038,7,0
Meningitis/Sepsis,TUR,0.1683996,7,0
Pneumonia,TUR,0.065422,7,0
Preterm Delivery,TUR,0.251961,7,0
Stillbirth,TUR,0,7,0
Birth asphyxia,TUR,0.0925591,7,1
Congenital malformation,TUR,0.4336771,7,1
Meningitis/Sepsis,TUR,0.1973287,7,1
Pneumonia,TUR,0.0659317,7,1
Preterm Delivery,TUR,0.2105034,7,1
Stillbirth,TUR,0,7,1
Birth asphyxia,TUN,0.229196,0,0
Congenital malformation,TUN,0.2095207,0,0
Meningitis/Sepsis,TUN,0.0342177,0,0
Pneumonia,TUN,0.0094439,0,0
Preterm Delivery,TUN,0.237497,0,0
Stillbirth,TUN,0.2801245,0,0
Birth asphyxia,TUN,0.2216132,0,1
Congenital malformation,TUN,0.2068254,0,1
Meningitis/Sepsis,TUN,0.0394654,0,1
Pneumonia,TUN,0.0088148,0,1
Preterm Delivery,TUN,0.2402173,0,1
Stillbirth,TUN,0.2830638,0,1
Birth asphyxia,TUN,0.2119953,7,0
Congenital malformation,TUN,0.3869624,7,0
Meningitis/Sepsis,TUN,0.1011028,7,0
Pneumonia,TUN,0.040664,7,0
Preterm Delivery,TUN,0.2592754,7,0
Stillbirth,TUN,0,7,0
Birth asphyxia,TUN,0.1730155,7,1
Congenital malformation,TUN,0.4485146,7,1
Meningitis/Sepsis,TUN,0.1031526,7,1
Pneumonia,TUN,0.0438144,7,1
Preterm Delivery,TUN,0.2315028,7,1
Stillbirth,TUN,0,7,1
Birth asphyxia,TTO,0.3386281,0,0
Congenital malformation,TTO,0.164511,0,0
Meningitis/Sepsis,TTO,0.0355437,0,0
Pneumonia,TTO,0.0161596,0,0
Preterm Delivery,TTO,0.1871177,0,0
Stillbirth,TTO,0.2580399,0,0
Birth asphyxia,TTO,0.3516203,0,1
Congenital malformation,TTO,0.169136,0,1
Meningitis/Sepsis,TTO,0.0247234,0,1
Pneumonia,TTO,0.0123825,0,1
Preterm Delivery,TTO,0.1887278,0,1
Stillbirth,TTO,0.25341,0,1
Birth asphyxia,TTO,0.2792996,7,0
Congenital malformation,TTO,0.3119685,7,0
Meningitis/Sepsis,TTO,0.128083,7,0
Pneumonia,TTO,0.0524831,7,0
Preterm Delivery,TTO,0.2281658,7,0
Stillbirth,TTO,0,7,0
Birth asphyxia,TTO,0.247361,7,1
Congenital malformation,TTO,0.3935163,7,1
Meningitis/Sepsis,TTO,0.1264008,7,1
Pneumonia,TTO,0.0371895,7,1
Preterm Delivery,TTO,0.1955324,7,1
Stillbirth,TTO,0,7,1
Birth asphyxia,TON,0.3485059,0,0
Congenital malformation,TON,0.1570552,0,0
Meningitis/Sepsis,TON,0.0580467,0,0
Pneumonia,TON,0.0172114,0,0
Preterm Delivery,TON,0.161224,0,0
Stillbirth,TON,0.2579569,0,0
Birth asphyxia,TON,0.2913004,0,1
Congenital malformation,TON,0.0815347,0,1
Meningitis/Sepsis,TON,0.0694893,0,1
Pneumonia,TON,0.0234319,0,1
Preterm Delivery,TON,0.2467577,0,1
Stillbirth,TON,0.2874861,0,1
Birth asphyxia,TON,0.3097196,7,0
Congenital malformation,TON,0.2524174,7,0
Meningitis/Sepsis,TON,0.1777755,7,0
Pneumonia,TON,0.1038549,7,0
Preterm Delivery,TON,0.1562326,7,0
Stillbirth,TON,0,7,0
Birth asphyxia,TON,0.2507781,7,1
Congenital malformation,TON,0.3025117,7,1
Meningitis/Sepsis,TON,0.1659985,7,1
Pneumonia,TON,0.0971776,7,1
Preterm Delivery,TON,0.1835342,7,1
Stillbirth,TON,0,7,1
Birth asphyxia,TLS,0.3821131,0,0
Congenital malformation,TLS,0.1278093,0,0
Meningitis/Sepsis,TLS,0.0258499,0,0
Pneumonia,TLS,0.0293665,0,0
Preterm Delivery,TLS,0.1838493,0,0
Stillbirth,TLS,0.2510118,0,0
Birth asphyxia,TLS,0.3551972,0,1
Congenital malformation,TLS,0.1391419,0,1
Meningitis/Sepsis,TLS,0.0199645,0,1
Pneumonia,TLS,0.0305447,0,1
Preterm Delivery,TLS,0.1993879,0,1
Stillbirth,TLS,0.2557638,0,1
Birth asphyxia,TLS,0.3666505,7,0
Congenital malformation,TLS,0.2171274,7,0
Meningitis/Sepsis,TLS,0.089302,7,0
Pneumonia,TLS,0.1411257,7,0
Preterm Delivery,TLS,0.1857943,7,0
Stillbirth,TLS,0,7,0
Birth asphyxia,TLS,0.3281035,7,1
Congenital malformation,TLS,0.2403276,7,1
Meningitis/Sepsis,TLS,0.0729444,7,1
Pneumonia,TLS,0.1449206,7,1
Preterm Delivery,TLS,0.2137039,7,1
Stillbirth,TLS,0,7,1
Birth asphyxia,TKM,0.5422743,0,0
Congenital malformation,TKM,0.038783,0,0
Meningitis/Sepsis,TKM,0.0123104,0,0
Pneumonia,TKM,0.0729321,0,0
Preterm Delivery,TKM,0.1152417,0,0
Stillbirth,TKM,0.2184585,0,0
Birth asphyxia,TKM,0.5404237,0,1
Congenital malformation,TKM,0.0423903,0,1
Meningitis/Sepsis,TKM,0.0121386,0,1
Pneumonia,TKM,0.0690636,0,1
Preterm Delivery,TKM,0.1172872,0,1
Stillbirth,TKM,0.2186966,0,1
Birth asphyxia,TKM,0.4963578,7,0
Congenital malformation,TKM,0.0744667,7,0
Meningitis/Sepsis,TKM,0.0639916,7,0
Pneumonia,TKM,0.2600518,7,0
Preterm Delivery,TKM,0.105132,7,0
Stillbirth,TKM,0,7,0
Birth asphyxia,TKM,0.4812643,7,1
Congenital malformation,TKM,0.0835805,7,1
Meningitis/Sepsis,TKM,0.048794,7,1
Pneumonia,TKM,0.2757763,7,1
Preterm Delivery,TKM,0.1105849,7,1
Stillbirth,TKM,0,7,1
Birth asphyxia,TJK,0.3954936,0,0
Congenital malformation,TJK,0.1265442,0,0
Meningitis/Sepsis,TJK,0.0165369,0,0
Pneumonia,TJK,0.0526615,0,0
Preterm Delivery,TJK,0.1641883,0,0
Stillbirth,TJK,0.2445754,0,0
Birth asphyxia,TJK,0.3841383,0,1
Congenital malformation,TJK,0.1409207,0,1
Meningitis/Sepsis,TJK,0.0137378,0,1
Pneumonia,TJK,0.0490714,0,1
Preterm Delivery,TJK,0.1669084,0,1
Stillbirth,TJK,0.2452234,0,1
Birth asphyxia,TJK,0.3466915,7,0
Congenital malformation,TJK,0.2040423,7,0
Meningitis/Sepsis,TJK,0.0710197,7,0
Pneumonia,TJK,0.269557,7,0
Preterm Delivery,TJK,0.1086895,7,0
Stillbirth,TJK,0,7,0
Birth asphyxia,TJK,0.3405447,7,1
Congenital malformation,TJK,0.2104471,7,1
Meningitis/Sepsis,TJK,0.0514623,7,1
Pneumonia,TJK,0.2843495,7,1
Preterm Delivery,TJK,0.1131964,7,1
Stillbirth,TJK,0,7,1
Birth asphyxia,THA,0.2880831,0,0
Congenital malformation,THA,0.171069,0,0
Meningitis/Sepsis,THA,0.0559348,0,0
Pneumonia,THA,0.013188,0,0
Preterm Delivery,THA,0.1996206,0,0
Stillbirth,THA,0.2721045,0,0
Birth asphyxia,THA,0.2741016,0,1
Congenital malformation,THA,0.1838551,0,1
Meningitis/Sepsis,THA,0.0496129,0,1
Pneumonia,THA,0.0124763,0,1
Preterm Delivery,THA,0.206709,0,1
Stillbirth,THA,0.273245,0,1
Birth asphyxia,THA,0.2066277,7,0
Congenital malformation,THA,0.3900846,7,0
Meningitis/Sepsis,THA,0.1033175,7,0
Pneumonia,THA,0.1128073,7,0
Preterm Delivery,THA,0.1871629,7,0
Stillbirth,THA,0,7,0
Birth asphyxia,THA,0.1663968,7,1
Congenital malformation,THA,0.4372963,7,1
Meningitis/Sepsis,THA,0.0941925,7,1
Pneumonia,THA,0.1011498,7,1
Preterm Delivery,THA,0.2009645,7,1
Stillbirth,THA,0,7,1
Birth asphyxia,TGO,0.3610226,0,0
Congenital malformation,TGO,0.0448884,0,0
Meningitis/Sepsis,TGO,0.1300707,0,0
Pneumonia,TGO,0.057784,0,0
Preterm Delivery,TGO,0.1309923,0,0
Stillbirth,TGO,0.2752421,0,0
Birth asphyxia,TGO,0.3282722,0,1
Congenital malformation,TGO,0.0465223,0,1
Meningitis/Sepsis,TGO,0.1228779,0,1
Pneumonia,TGO,0.0707543,0,1
Preterm Delivery,TGO,0.1495322,0,1
Stillbirth,TGO,0.2820412,0,1
Birth asphyxia,TGO,0.24189,7,0
Congenital malformation,TGO,0.0956119,7,0
Meningitis/Sepsis,TGO,0.3117919,7,0
Pneumonia,TGO,0.2363847,7,0
Preterm Delivery,TGO,0.1143214,7,0
Stillbirth,TGO,0,7,0
Birth asphyxia,TGO,0.186343,7,1
Congenital malformation,TGO,0.0959389,7,1
Meningitis/Sepsis,TGO,0.2992808,7,1
Pneumonia,TGO,0.3043423,7,1
Preterm Delivery,TGO,0.114095,7,1
Stillbirth,TGO,0,7,1
Birth asphyxia,TCD,0.335778,0,0
Congenital malformation,TCD,0.0320404,0,0
Meningitis/Sepsis,TCD,0.1299449,0,0
Pneumonia,TCD,0.0876913,0,0
Preterm Delivery,TCD,0.1332511,0,0
Stillbirth,TCD,0.2812943,0,0
Birth asphyxia,TCD,0.3277899,0,1
Congenital malformation,TCD,0.0323524,0,1
Meningitis/Sepsis,TCD,0.1152247,0,1
Pneumonia,TCD,0.0899805,0,1
Preterm Delivery,TCD,0.1523619,0,1
Stillbirth,TCD,0.2822906,0,1
Birth asphyxia,TCD,0.1616278,7,0
Congenital malformation,TCD,0.076623,7,0
Meningitis/Sepsis,TCD,0.2564292,7,0
Pneumonia,TCD,0.4207695,7,0
Preterm Delivery,TCD,0.0845506,7,0
Stillbirth,TCD,0,7,0
Birth asphyxia,TCD,0.1429393,7,1
Congenital malformation,TCD,0.0746678,7,1
Meningitis/Sepsis,TCD,0.2583467,7,1
Pneumonia,TCD,0.4346156,7,1
Preterm Delivery,TCD,0.0894306,7,1
Stillbirth,TCD,0,7,1
Birth asphyxia,SYR,0.3628731,0,0
Congenital malformation,SYR,0.2245593,0,0
Meningitis/Sepsis,SYR,0.0223426,0,0
Pneumonia,SYR,0.0030163,0,0
Preterm Delivery,SYR,0.1462435,0,0
Stillbirth,SYR,0.2409652,0,0
Birth asphyxia,SYR,0.2935313,0,1
Congenital malformation,SYR,0.2738705,0,1
